"x","y","z","t","class"
0.5132,-0.0879,-5.7099,2022-01-06 16:22:12,2
1.6075,-1.5954,-4.5509,2022-01-06 16:22:13,2
-0.00380000000000003,-2.9482,-6.2238,2022-01-06 16:22:14,2
1.4413,-2.5209,2.0933,2022-01-06 16:22:15,2
1.0665,-1.1783,5.6638,2022-01-06 16:22:16,2
0.0493,-0.3752,5.0896,2022-01-06 16:22:17,2
0.0828,0.8371,6.0137,2022-01-06 16:22:18,2
0.0714,0.8823,6.5439,2022-01-06 16:22:19,2
-3.9588,1.2692,2.6081,2022-01-06 16:22:20,2
0.0291000000000001,1.9574,-0.4271,2022-01-06 16:22:21,2
-1.7,1.6944,3.1644,2022-01-06 16:22:22,2
0.2509,6.3499,-13.9609,2022-01-06 16:22:23,2
3.7613,6.7887,-10.9424,2022-01-06 16:22:24,2
-4.2699,0.6366,-2.8633,2022-01-06 16:22:25,2
-0.5746,-0.9306,-4.7257,2022-01-06 16:22:26,2
2.1809,-1.8451,-8.5178,2022-01-06 16:22:27,2
2.131,-1.4925,-2.4716,2022-01-06 16:22:28,2
-1.2649,-4.8949,4.0991,2022-01-06 16:22:29,2
0.745,0.1956,8.644,2022-01-06 16:22:30,2
0.4176,1.8692,7.18,2022-01-06 16:22:31,2
-1.4039,1.2279,7.1364,2022-01-06 16:22:32,2
-0.6129,2.8162,1.0466,2022-01-06 16:22:33,2
-0.4962,2.9311,1.8793,2022-01-06 16:22:34,2
-1.5197,2.1238,0.1841,2022-01-06 16:22:35,2
-3.3854,0.5361,-6.3701,2022-01-06 16:22:36,2
2.4108,-0.8539,-5.8376,2022-01-06 16:22:37,2
-0.5165,0.1833,-7.9897,2022-01-06 16:22:38,2
-0.337,-1.7551,-4.9909,2022-01-06 16:22:39,2
1.7476,-2.1058,3.3526,2022-01-06 16:22:40,2
0.5901,-2.151,8.1789,2022-01-06 16:22:41,2
0.1668,-0.2157,6.9258,2022-01-06 16:22:42,2
1.2934,1.7354,7.7876,2022-01-06 16:22:43,2
-2.1231,-0.2025,6.2198,2022-01-06 16:22:44,2
2.1365,3.8249,4.3434,2022-01-06 16:22:45,2
0.0751999999999999,2.1309,2.8872,2022-01-06 16:22:46,2
2.1445,4.5179,-8.1959,2022-01-06 16:22:47,2
-1.4078,-1.0051,-2.5593,2022-01-06 16:22:48,2
-0.7258,-2.3069,-6.6752,2022-01-06 16:22:49,2
1.6513,-1.3825,-7.6073,2022-01-06 16:22:50,2
1.3161,-1.9282,-3.4677,2022-01-06 16:22:51,2
1.4913,-0.2412,5.0787,2022-01-06 16:22:52,2
0.5935,-2.2375,8.6049,2022-01-06 16:22:53,2
1.2144,0.5029,8.182,2022-01-06 16:22:54,2
0.256,1.8821,8.5985,2022-01-06 16:22:55,2
-0.366,1.9364,4.9355,2022-01-06 16:22:56,2
-1.4233,2.8098,4.8798,2022-01-06 16:22:57,2
-0.6227,4.8597,-2.9404,2022-01-06 16:22:58,2
-2.2486,1.0794,-0.5224,2022-01-06 16:22:59,2
-0.3692,1.9668,-12.7894,2022-01-06 16:23:00,2
-0.2512,-0.8064,-4.3374,2022-01-06 16:23:01,2
0.1914,-0.7821,-6.3848,2022-01-06 16:23:02,2
-1.2671,-0.7483,-5.2433,2022-01-06 16:23:03,2
-1.6783,-2.8747,4.7303,2022-01-06 16:23:04,2
-0.5896,-1.5012,7.1705,2022-01-06 16:23:05,2
0.167,-1.1343,7.427,2022-01-06 16:23:06,2
-1.2955,1.2354,5.5438,2022-01-06 16:23:07,2
2.6889,1.071,3.5095,2022-01-06 16:23:08,2
2.4149,1.9756,4.7737,2022-01-06 16:23:09,2
1.7128,1.9105,-0.4958,2022-01-06 16:23:10,2
-1.3202,0.9435,-2.03,2022-01-06 16:23:11,2
-0.5484,0.2638,-4.0851,2022-01-06 16:23:12,2
1.3943,-2.1404,-8.2485,2022-01-06 16:23:13,2
0.046,-1.5626,-8.6774,2022-01-06 16:23:14,2
0.3488,-1.8665,-6.7843,2022-01-06 16:23:15,2
-0.1664,-3.1772,-0.466,2022-01-06 16:23:16,2
-0.4361,-2.6557,4.002,2022-01-06 16:23:17,2
-0.1065,-1.6117,8.3687,2022-01-06 16:23:18,2
0.9931,0.139,7.1013,2022-01-06 16:23:19,2
-0.7805,0.3462,6.4649,2022-01-06 16:23:20,2
-0.5265,2.8218,-0.6132,2022-01-06 16:23:21,2
0.147,3.3983,1.5264,2022-01-06 16:23:22,2
