"x","y","z","t","class"
0.1994,0.6631,0.1536,2021-12-24 16:31:38,1
-0.8048,0.6698,-0.5499,2021-12-24 16:31:39,1
0.056,0.0472,-0.9453,2021-12-24 16:31:40,1
-0.0221,-0.1461,2.7666,2021-12-24 16:31:41,1
-0.1347,-0.2178,0.5624,2021-12-24 16:31:42,1
-0.562,0.0556,1.5837,2021-12-24 16:31:43,1
-0.5126,0.5721,-0.9059,2021-12-24 16:31:44,1
-0.4262,0.3978,0.0587,2021-12-24 16:31:45,1
-0.2586,0.2688,-1.0118,2021-12-24 16:31:46,1
-0.6631,-0.4119,-1.7829,2021-12-24 16:31:47,1
0.0657,0.2963,-1.1205,2021-12-24 16:31:48,1
-0.2246,0.4928,0.7037,2021-12-24 16:31:49,1
-0.1736,0.0797,0.6379,2021-12-24 16:31:50,1
0.784,-0.1466,-4.2815,2021-12-24 16:31:51,1
-0.0544,0.1177,0.7784,2021-12-24 16:31:52,1
-0.3454,0.0378,0.5963,2021-12-24 16:31:53,1
-0.0754,-0.3435,1.5321,2021-12-24 16:31:54,1
0.0542,0.1955,1.4419,2021-12-24 16:31:55,1
-0.1956,0.0017,-0.1898,2021-12-24 16:31:56,1
-0.1132,-0.3544,-0.3646,2021-12-24 16:31:57,1
0.1012,0.0235,-0.9682,2021-12-24 16:31:58,1
0.3353,-0.1687,-1.9951,2021-12-24 16:31:59,1
0.4912,0.5638,0.9966,2021-12-24 16:32:00,1
1.4203,-0.4539,0.2653,2021-12-24 16:32:01,1
-0.0693,-0.5736,-0.1727,2021-12-24 16:32:02,1
0.0763,0.1232,-0.6752,2021-12-24 16:32:03,1
0.0478,-0.2245,0.127,2021-12-24 16:32:04,1
-0.3885,0.077,1.1109,2021-12-24 16:32:05,1
-0.2119,-0.0318,-1.9321,2021-12-24 16:32:06,1
0.2876,0.1931,-0.363,2021-12-24 16:32:07,1
0.2433,-0.0609,0.7076,2021-12-24 16:32:08,1
-0.0563000000000001,-1.1109,0.6927,2021-12-24 16:32:09,1
-0.151,-1.0387,1.846,2021-12-24 16:32:10,1
