"","x","y","z","t","class"
"154",4.9084,5.1296,-9.4336,2021-12-18 13:55:12,2
"155",1.6676,-1.9561,-2.1911,2021-12-18 13:55:13,2
"156",-3.672,1.1318,5.5965,2021-12-18 13:55:14,2
"157",-7.3062,0.1699,-9.3338,2021-12-18 13:55:15,2
"158",5.1858,-4.605,3.7588,2021-12-18 13:55:16,2
"159",1.4168,-5.8914,-6.076,2021-12-18 13:55:17,2
"160",-1.9308,3.479,0.2844,2021-12-18 13:55:18,2
"161",-1.2762,-4.8937,0.4477,2021-12-18 13:55:19,2
"162",-4.6529,4.2457,-2.9426,2021-12-18 13:55:20,2
"163",5.1689,-4.5002,-2.8387,2021-12-18 13:55:21,2
"164",1.8024,10.4243,9.4772,2021-12-18 13:55:22,2
"165",-4.7543,1.5239,2.0825,2021-12-18 13:55:23,2
"166",-5.3476,-1.8554,8.7639,2021-12-18 13:55:24,2
"167",3.2669,-4.4046,-1.92,2021-12-18 13:55:25,2
"168",2.4056,-0.4389,-11.0028,2021-12-18 13:55:26,2
"169",-1.7701,3.6577,-0.24,2021-12-18 13:55:27,2
"170",-1.2985,10.2884,6.2539,2021-12-18 13:55:28,2
"171",0.7893,-4.9551,1.3509,2021-12-18 13:55:29,2
"172",2.089,1.5512,-4.7318,2021-12-18 13:55:30,2
"173",1.6201,1.4631,-4.9125,2021-12-18 13:55:31,2
"174",-3.3916,1.5803,3.1594,2021-12-18 13:55:32,2
"175",-1.5949,-7.8833,-1.2611,2021-12-18 13:55:33,2
"176",-6.4756,-3.1052,3.9835,2021-12-18 13:55:34,2
"177",1.8178,-2.7123,-1.5597,2021-12-18 13:55:35,2
"178",-4.0236,9.905,3.0184,2021-12-18 13:55:36,2
"179",3.1884,8.4265,4.1842,2021-12-18 13:55:37,2
"180",-1.1511,-8.8168,1.3953,2021-12-18 13:55:38,2
"181",0.2376,-5.8728,2.0203,2021-12-18 13:55:39,2
"182",8.802,0.1264,-6.56,2021-12-18 13:55:40,2
"183",2.2063,12.3898,10.4677,2021-12-18 13:55:41,2
"184",0.5605,1.6888,5.0251,2021-12-18 13:55:42,2
"185",-3.5855,-6.8972,2.3548,2021-12-18 13:55:43,2
"186",-5.2831,-3.6884,8.9971,2021-12-18 13:55:44,2
"187",3.4273,1.7787,-8.4228,2021-12-18 13:55:45,2
"188",2.223,3.6929,-3.6349,2021-12-18 13:55:46,2
"189",2.2528,7.911,2.7456,2021-12-18 13:55:47,2
"190",1.1193,9.1635,2.1009,2021-12-18 13:55:48,2
"191",-2.8816,-8.2009,-2.4083,2021-12-18 13:55:49,2
"192",-4.7482,-4.9634,2.1588,2021-12-18 13:55:50,2
"193",1.476,-1.9708,-10.2402,2021-12-18 13:55:51,2
"194",5.6183,1.1133,-0.3158,2021-12-18 13:55:52,2
"195",2.1322,8.4896,3.2389,2021-12-18 13:55:53,2
"196",-1.4879,-0.4158,2.3526,2021-12-18 13:55:54,2
"197",-3.786,1.1841,2.3332,2021-12-18 13:55:55,2
"198",4.8509,3.4384,-6.4034,2021-12-18 13:55:56,2
"199",4.3747,6.7406,-1.3499,2021-12-18 13:55:57,2
"200",-3.968,-3.8303,-6.068,2021-12-18 13:55:58,2
"201",-2.1438,-8.5211,2.5363,2021-12-18 13:55:59,2
"202",-2.8369,-2.3193,-4.584,2021-12-18 13:56:00,2
"203",-6.1547,-0.1277,4.9876,2021-12-18 13:56:01,2
"204",1.4796,-4.8745,0.4568,2021-12-18 13:56:02,2
"205",0.6785,-2.0745,-3.9167,2021-12-18 13:56:03,2
"206",-9.1595,2.9529,10.3196,2021-12-18 13:56:04,2
"207",-3.6389,-1.6312,5.3837,2021-12-18 13:56:05,2
"208",-0.2445,-12.8353,-21.0892,2021-12-18 13:56:06,2
"209",-1.4894,2.2189,1.4099,2021-12-18 13:56:07,2
"210",-1.0496,-0.7048,2.6503,2021-12-18 13:56:08,2
"211",4.9967,-1.6682,-8.9964,2021-12-18 13:56:09,2
"212",-1.4145,-6.3756,4.6557,2021-12-18 13:56:10,2
"213",-0.8679,-5.103,-0.8044,2021-12-18 13:56:11,2
"214",-6.0455,-15.591,4.9801,2021-12-18 13:56:12,2
"215",-11.6518,-4.9346,17.9268,2021-12-18 13:56:13,2
"216",1.3642,4.5837,8.751,2021-12-18 13:56:14,2
"217",3.2745,-4.3359,-7.0286,2021-12-18 13:56:15,2
"218",1.8563,13.9085,9.7922,2021-12-18 13:56:16,2
"219",-3.5766,2.5277,1.0246,2021-12-18 13:56:17,2
"220",-1.709,-8.1317,6.6537,2021-12-18 13:56:18,2
"221",9.6602,1.6976,-7.7461,2021-12-18 13:56:19,2
"222",4.2215,-2.5967,-7.4838,2021-12-18 13:56:20,2
"223",1.031,4.8514,-4.1182,2021-12-18 13:56:21,2
"224",-9.7222,-9.2258,12.7106,2021-12-18 13:56:22,2
"225",-0.2373,-2.7343,3.8824,2021-12-18 13:56:23,2
"226",5.5961,-5.043,-0.2957,2021-12-18 13:56:24,2
"227",6.1563,12.9554,15.689,2021-12-18 13:56:25,2
"228",-0.2795,-0.0606,3.5569,2021-12-18 13:56:26,2
"229",-3.6562,-5.7136,-2.1845,2021-12-18 13:56:27,2
"230",0.4877,-4.5011,0.1648,2021-12-18 13:56:28,2
"231",3.9967,-6.3281,-7.3917,2021-12-18 13:56:29,2
"232",4.7485,5.6069,-6.5709,2021-12-18 13:56:30,2
"233",-3.7973,-6.4379,-0.0647,2021-12-18 13:56:31,2
"234",-5.6102,-7.4433,9.0577,2021-12-18 13:56:32,2
"235",-1.3596,-1.6162,-7.4152,2021-12-18 13:56:33,2
"236",2.1411,-4.1997,-5.6992,2021-12-18 13:56:34,2
"237",1.4848,9.1369,-4.4536,2021-12-18 13:56:35,2
"238",1.5296,-3.2754,7.1364,2021-12-18 13:56:36,2
"239",0.87,-6.2257,2.858,2021-12-18 13:56:37,2
"240",-2.5266,3.6624,0.00840000000000007,2021-12-18 13:56:38,2
"241",6.94,-3.1269,-11.2522,2021-12-18 13:56:39,2
"242",6.6332,3.812,-4.9158,2021-12-18 13:56:40,2
"243",-0.5087,4.8333,2.9502,2021-12-18 13:56:41,2
"244",-3.4601,-1.7011,1.619,2021-12-18 13:56:42,2
"245",-2.0605,-5.1235,0.5701,2021-12-18 13:56:43,2
"246",3.2687,3.4931,-6.5198,2021-12-18 13:56:44,2
"247",3.9144,5.2907,-7.7624,2021-12-18 13:56:45,2
"248",-1.7457,11.8146,9.7012,2021-12-18 13:56:46,2
"249",-5.1452,-13.6772,-1.0306,2021-12-18 13:56:47,2
"250",-3.9949,-6.3326,0.5561,2021-12-18 13:56:48,2
"251",-3.416,-2.0117,-7.333,2021-12-18 13:56:49,2
"252",4.374,-2.8482,-3.5116,2021-12-18 13:56:50,2
"253",3.4266,15.8932,12.9566,2021-12-18 13:56:51,2
"254",-3.3555,-3.2913,1.7124,2021-12-18 13:56:52,2
"255",-6.0583,-6.6258,2.3255,2021-12-18 13:56:53,2
"256",-1.442,7.7214,20.6276,2021-12-18 13:56:54,2
"257",3.5023,2.5122,-7.2733,2021-12-18 13:56:55,2
"258",2.1403,8.8729,-6.4182,2021-12-18 13:56:56,2
"259",-0.8779,13.5053,14.3368,2021-12-18 13:56:57,2
"260",-0.0703,-0.9115,1.1288,2021-12-18 13:56:58,2
"261",2.0539,-1.6777,0.8913,2021-12-18 13:56:59,2
"262",2.7502,-8.3248,1.4832,2021-12-18 13:57:00,2
"263",4.1253,-12.4872,2.2248,2021-12-18 13:57:01,2
"264",2.7502,-8.3248,1.4832,2021-12-18 13:57:02,2
"265",2.7502,-8.3248,1.4832,2021-12-18 13:57:03,2
"266",4.1253,-12.4872,2.2248,2021-12-18 13:57:04,2
"267",2.7502,-8.3248,1.4832,2021-12-18 13:57:05,2
"268",2.7502,-8.3248,1.4832,2021-12-18 13:57:06,2
"269",2.7502,-8.3248,1.4832,2021-12-18 13:57:07,2
"270",4.1253,-12.4872,2.2248,2021-12-18 13:57:08,2
"271",2.7502,-8.3248,1.4832,2021-12-18 13:57:09,2
"272",2.7502,-8.3248,1.4832,2021-12-18 13:57:10,2
"273",4.1253,-12.4872,2.2248,2021-12-18 13:57:11,2
"274",2.7502,-8.3248,1.4832,2021-12-18 13:57:12,2
"275",2.7502,-8.3248,1.4832,2021-12-18 13:57:13,2
"276",2.7502,-8.3248,1.4832,2021-12-18 13:57:14,2
"277",4.1253,-12.4872,2.2248,2021-12-18 13:57:15,2
"278",2.7502,-8.3248,1.4832,2021-12-18 13:57:16,2
"279",2.7502,-8.3248,1.4832,2021-12-18 13:57:17,2
"280",4.1253,-12.4872,2.2248,2021-12-18 13:57:18,2
"281",2.7502,-8.3248,1.4832,2021-12-18 13:57:19,2
"282",2.7502,-8.3248,1.4832,2021-12-18 13:57:20,2
"283",4.1253,-12.4872,2.2248,2021-12-18 13:57:21,2
"284",2.7502,-8.3248,1.4832,2021-12-18 13:57:22,2
"285",2.7502,-8.3248,1.4832,2021-12-18 13:57:23,2
"286",2.7502,-8.3248,1.4832,2021-12-18 13:57:24,2
"287",4.1253,-12.4872,2.2248,2021-12-18 13:57:25,2
"288",2.7502,-8.3248,1.4832,2021-12-18 13:57:26,2
"289",2.7502,-8.3248,1.4832,2021-12-18 13:57:27,2
"290",2.7502,-8.3248,1.4832,2021-12-18 13:57:28,2
"291",2.7502,-8.3248,1.4832,2021-12-18 13:57:29,2
"292",2.7502,-8.3248,1.4832,2021-12-18 13:57:30,2
"293",2.7502,-8.3248,1.4832,2021-12-18 13:57:31,2
