"","x","y","z","t"
"337",0.5987,-0.196,-0.5593,2021-12-12 13:56:22
"338",-3.8659,-1.9832,1.3936,2021-12-12 13:56:23
"339",0.1023,-0.093,-0.2111,2021-12-12 13:56:24
"340",0.0296,-0.0622,0.0238,2021-12-12 13:56:25
"341",-0.0192,-0.0309,0.0162,2021-12-12 13:56:26
"342",0.0496,-0.0234,-0.0954,2021-12-12 13:56:27
"343",-0.031,-0.02,0.0835,2021-12-12 13:56:28
"344",0.0353,-0.0118,-0.0341,2021-12-12 13:56:29
"345",-0.021,0.000400000000000001,-0.0069,2021-12-12 13:56:30
"346",-0.0299,0.2414,-0.185,2021-12-12 13:56:31
"347",-0.0021,-0.0345,-0.0324,2021-12-12 13:56:32
"348",-0.016,0.0251,0.0529,2021-12-12 13:56:33
"349",0.0636,-0.0102,0.0174,2021-12-12 13:56:34
"350",-0.031,0.1677,-0.0329,2021-12-12 13:56:35
"351",0.0526,-0.0517,0.0136,2021-12-12 13:56:36
"352",0.0462,-0.1586,-0.0127,2021-12-12 13:56:37
"353",0.0011,-0.0793,0.0881,2021-12-12 13:56:38
"354",0.1103,-0.1505,-0.2715,2021-12-12 13:56:39
"355",-0.0468,0.0481,-0.0032,2021-12-12 13:56:40
"356",-0.0064,-0.1404,-0.0185,2021-12-12 13:56:41
"357",0.0476,-0.0679,-0.0896,2021-12-12 13:56:42
"358",-0.0474,0.048,-0.0043,2021-12-12 13:56:43
"359",0.0301,0.03,-0.0754,2021-12-12 13:56:44
"360",0.4445,0.0897,-0.6047,2021-12-12 13:56:45
"361",0.6296,-3.5889,-0.0357,2021-12-12 13:56:46
"362",-2.2171,-1.0005,-0.915599999999994,2021-12-12 13:56:47
"363",0.0198,-0.0335,-0.0791,2021-12-12 13:56:48
"364",-0.0062,-0.0564,0.0284,2021-12-12 13:56:49
"365",0.027,-0.0459,-0.0515,2021-12-12 13:56:50
"366",0.0139,-0.0485,-0.0275,2021-12-12 13:56:51
"367",0.0082,0.0019,-0.047,2021-12-12 13:56:52
"368",0.0255,-0.0299,0.0081,2021-12-12 13:56:53
"369",0.0308,0.0033,0.0036,2021-12-12 13:56:54
"370",0.0205,0.0146,-0.0471,2021-12-12 13:56:55
"371",-0.0023,-0.0422,0.0038,2021-12-12 13:56:56
"372",0.0401,-0.0156,0.0393,2021-12-12 13:56:57
"373",-0.02,-0.0444,-0.006,2021-12-12 13:56:58
"374",3.1948,-0.607599999999999,-2.4892,2021-12-12 13:56:59
"375",-0.0494,-0.1568,-0.1379,2021-12-12 13:57:00
"376",0.1438,-0.0516,-0.0034,2021-12-12 13:57:01
"377",0.3545,0.3126,-0.0451,2021-12-12 13:57:02
"378",-0.2082,-0.00590000000000002,-0.1176,2021-12-12 13:57:03
"379",0.8229,0.1261,0.4379,2021-12-12 13:57:04
"380",0.9424,0.2476,0.0969,2021-12-12 13:57:05
"381",-0.3469,0.1133,-0.1661,2021-12-12 13:57:06
"382",-0.0164,-0.0838,0.2147,2021-12-12 13:57:07
"383",-0.2153,0.0224,-0.1171,2021-12-12 13:57:08
"384",-0.2163,0.1242,-0.5063,2021-12-12 13:57:09
"385",-0.0296,-0.2159,-0.1455,2021-12-12 13:57:10
"386",0.4554,-0.7798,-0.2523,2021-12-12 13:57:11
"387",0.2589,0.153,0.0726,2021-12-12 13:57:12
"388",-0.5708,-0.2285,-0.0062,2021-12-12 13:57:13
"389",0.6808,0.3185,-0.0547,2021-12-12 13:57:14
"390",-0.018,-0.4334,0.2404,2021-12-12 13:57:15
"391",-1.4893,0.6926,-1.0661,2021-12-12 13:57:16
"392",0.1287,0.3018,-0.1885,2021-12-12 13:57:17
"393",0.2654,-0.0564,0.0521,2021-12-12 13:57:18
"394",0.1285,0.0608,-0.2174,2021-12-12 13:57:19
"395",-0.2134,-0.2365,-0.3243,2021-12-12 13:57:20
"396",-0.1203,-0.1337,0.3583,2021-12-12 13:57:21
"397",105.4198,-120.4932,-60.3986,2021-12-12 13:57:22
"398",0.0315,0.133,0.2091,2021-12-12 13:57:23
"399",-0.6743,-0.4191,0.3589,2021-12-12 13:57:24
"400",-0.9086,-0.7658,0.7879,2021-12-12 13:57:25
"401",-0.6474,0.7371,-0.4222,2021-12-12 13:57:26
"402",-0.0366,-0.4039,0.7406,2021-12-12 13:57:27
"403",-0.2641,-1.2974,0.2364,2021-12-12 13:57:28
"404",-0.1899,-1.4374,0.9374,2021-12-12 13:57:29
"405",-0.3863,-1.3048,1.0672,2021-12-12 13:57:30
"406",-0.2698,-0.7401,1.039,2021-12-12 13:57:31
"407",-0.0838,-1.5292,0.403,2021-12-12 13:57:32
"408",-0.8218,-1.1691,1.1068,2021-12-12 13:57:33
"409",-0.1513,-0.5532,-1.4901,2021-12-12 13:57:34
"410",0.0719,-1.2965,-0.7216,2021-12-12 13:57:35
"411",-1.0583,-1.7817,0.9979,2021-12-12 13:57:36
"412",0.013,-1.1597,1.5495,2021-12-12 13:57:37
"413",0.374,-0.892,1.4781,2021-12-12 13:57:38
"414",-1.4766,0.3061,-1.2454,2021-12-12 13:57:39
"415",-1.9964,-1.2052,1.2984,2021-12-12 13:57:40
"416",-1.0493,-0.9396,0.6172,2021-12-12 13:57:41
"417",0.188,-0.7029,-0.9732,2021-12-12 13:57:42
"418",-0.6544,0.0793,2.5684,2021-12-12 13:57:43
"419",-0.3141,-1.1011,0.5277,2021-12-12 13:57:44
"420",-0.3853,-1.1927,0.4797,2021-12-12 13:57:45
"421",-0.7409,-1.1506,-0.5663,2021-12-12 13:57:46
"422",0.5585,-2.8467,-1.7904,2021-12-12 13:57:47
"423",0.6605,-2.0447,0.8841,2021-12-12 13:57:48
"424",0.325,-0.8394,0.1981,2021-12-12 13:57:49
"425",-0.4766,0.0962,0.1418,2021-12-12 13:57:50
