sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.244;0.6791;9.213;-0.1446;2.5618;9.465;0.0175;1.7897;0.2841;21.41;-6.49;-41.94;286.58;-16.82;-0.48;5.0;;;;NaN;;;;0 / 0;202529;2022-01-06 16:22:35:142
0.8111;0.311;14.723;0.0319;2.6011;9.4554;-1.5372;0.3341;-0.1;20.34;-7.74;-42.11;278.27;-15.82;-0.15;5.0;;;;NaN;;;;0 / 0;203029;2022-01-06 16:22:35:642
-1.11;0.576;8.006;-0.5208;2.2276;9.5361;0.1148;0.9287;-4.8264;20.81;-3.0;-42.3;292.53;-14.82;0.49;5.0;;;;NaN;;;;0 / 0;203529;2022-01-06 16:22:36:142
2.723;1.16;14.345;-0.1905;2.2497;9.5432;-3.5002;-0.3926;-1.5437;18.54;-8.4;-42.19;273.43;-12.09;1.46;5.0;;;;NaN;;;;0 / 0;204029;2022-01-06 16:22:36:642
-2.9171;2.81;12.8651;0.28;2.6975;9.4242;3.064;-0.0861;-3.4368;20.89;-5.94;-41.46;280.43;-14.99;-4.11;5.0;;;;NaN;;;;0 / 0;204530;2022-01-06 16:22:37:143
2.865;2.826;8.8271;-0.0069;2.4803;9.4878;-0.6532;-0.7678;-2.4008;18.06;-10.2;-42.06;273.03;-14.65;0.04;5.0;;;;NaN;;;;0 / 0;205029;2022-01-06 16:22:37:642
-0.892;2.9441;11.448;0.3032;2.3098;9.5259;0.3032;-0.9046;-3.4679;19.5;-5.81;-42.66;279.0;-12.87;-2.79;5.0;;;;NaN;;;;0 / 0;205530;2022-01-06 16:22:38:143
0.0311;1.2971;14.012;-0.8184;2.388;9.4762;-0.8197;1.0879;-4.5218;21.54;-5.51;-42.06;285.15;-12.63;4.16;5.0;;;;NaN;;;;0 / 0;206030;2022-01-06 16:22:38:643
-1.974;2.4821;15.683;-0.0746;2.25;9.5448;1.6152;-0.173;-2.7627;21.24;-1.31;-43.09;287.29;-10.84;-1.89;5.0;;;;NaN;;;;0 / 0;206530;2022-01-06 16:22:39:143
0.6551;3.116;12.894;-0.8956;1.5701;9.6386;-1.9522;-1.5821;-2.2282;21.54;-6.66;-41.94;267.16;-7.91;6.43;5.0;;;;NaN;;;;0 / 0;207029;2022-01-06 16:22:39:642
-1.809;3.207;12.798;-0.0805;2.2054;9.5551;2.4315;-0.4787;-0.9355;20.51;-2.34;-42.79;287.81;-12.16;-1.12;5.0;;;;NaN;;;;0 / 0;207529;2022-01-06 16:22:40:142
0.945;4.538;7.137;-0.5518;2.0576;9.5725;-0.6839;-1.6271;4.2881;20.76;-9.24;-41.51;267.52;-10.72;3.76;5.0;;;;NaN;;;;0 / 0;208030;2022-01-06 16:22:40:643
0.351;4.148;7.721;1.0696;2.4784;9.4278;0.3308;-1.709;3.6844;19.8;-7.14;-41.34;272.31;-12.43;-4.85;5.0;;;;NaN;;;;0 / 0;208529;2022-01-06 16:22:41:142
-0.347;4.1621;6.606;-0.8092;2.2948;9.5;0.2593;-0.442;4.4945;23.04;-9.84;-39.49;269.14;-13.38;4.76;5.0;;;;NaN;;;;0 / 0;209030;2022-01-06 16:22:41:643
-1.1411;2.451;6.158;0.2351;2.0467;9.5878;1.243;-0.5548;2.7095;23.1;-2.81;-40.26;283.21;-12.64;-1.68;5.0;;;;NaN;;;;0 / 0;209530;2022-01-06 16:22:42:143
0.426;3.267;4.832;-0.7389;1.5412;9.6566;-1.0762;0.3391;4.2163;22.14;-6.36;-40.99;277.82;-11.0;6.53;5.0;;;;NaN;;;;0 / 0;210029;2022-01-06 16:22:42:642
-0.6191;1.8041;4.739;0.3034;1.9094;9.6142;0.7529;0.0298;5.8686;21.41;-5.76;-41.7;277.91;-12.24;-0.66;5.0;;;;NaN;;;;0 / 0;210529;2022-01-06 16:22:43:142
-1.194;0.612;6.857;-0.9578;1.9644;9.56;0.5405;1.7056;1.919;20.76;-3.3;-42.41;289.3;-11.56;5.72;5.0;;;;NaN;;;;0 / 0;211029;2022-01-06 16:22:43:642
0.8231;2.015;6.584;0.0682;1.2819;9.7223;-0.6037;-0.7907;3.1506;16.44;-3.36;-45.11;280.06;-7.51;-0.4;5.0;;;;NaN;;;;0 / 0;211529;2022-01-06 16:22:44:142
1.256;1.709;7.104;-0.4748;1.766;9.6346;-1.5194;0.5882;3.0692;18.96;-3.54;-44.64;284.48;-10.37;2.82;5.0;;;;NaN;;;;0 / 0;212029;2022-01-06 16:22:44:642
1.457;2.283;6.503;0.5612;1.9989;9.5844;-1.4036;-0.1365;3.0748;18.6;-8.34;-43.56;278.98;-14.92;-2.82;5.0;;;;NaN;;;;0 / 0;212529;2022-01-06 16:22:45:142
-0.804;-0.225;10.445;-0.4507;2.2997;9.5225;3.5401;3.9614;1.2686;23.21;-0.06;-41.89;296.39;-15.12;0.41;5.0;;;;NaN;;;;0 / 0;213030;2022-01-06 16:22:45:643
3.063;3.341;7.109;-0.2256;1.8651;9.625;-0.9883;0.8993;-0.0061;18.79;-6.79;-43.99;278.68;-12.22;2.33;5.0;;;;NaN;;;;0 / 0;213530;2022-01-06 16:22:46:143
-2.223;1.175;7.262;-0.3121;2.3621;9.5128;1.0635;1.2316;2.8933;20.04;-3.96;-42.96;289.95;-14.84;0.32;5.0;;;;NaN;;;;0 / 0;214030;2022-01-06 16:22:46:643
-0.7751;-1.041;9.876;0.2315;2.1896;9.5563;1.0722;3.1149;-0.2962;18.54;-6.9;-43.09;280.99;-13.97;0.44;5.0;;;;NaN;;;;0 / 0;214529;2022-01-06 16:22:47:142
-1.7089;0.8111;17.447;-0.5633;2.2413;9.5305;1.0723;1.403;-7.8997;23.29;-3.36;-41.51;288.8;-13.21;3.38;5.0;;;;NaN;;;;0 / 0;215029;2022-01-06 16:22:47:642
0.09;-0.0709;14.9021;-0.4959;2.7572;9.398;-1.643;-0.2619;-1.0719;20.7;-7.31;-42.06;286.02;-16.33;3.02;5.0;;;;NaN;;;;0 / 0;215530;2022-01-06 16:22:48:143
-0.756;3.473;10.9001;-0.5944;2.728;9.4008;0.2352;-0.7432;-1.4874;20.51;-1.56;-42.0;296.04;-15.63;1.91;5.0;;;;NaN;;;;0 / 0;216029;2022-01-06 16:22:48:642
1.352;2.156;10.505;-0.6798;1.8622;9.6042;-1.3411;-1.1018;-1.6466;18.84;-1.69;-43.99;294.17;-9.3;6.02;5.0;;;;NaN;;;;0 / 0;216529;2022-01-06 16:22:49:142
-0.308;3.4421;14.586;0.2739;2.2773;9.5346;0.6153;-1.2051;-5.0286;18.41;-3.24;-44.04;286.71;-12.07;-2.89;5.0;;;;NaN;;;;0 / 0;217030;2022-01-06 16:22:49:643
0.732;3.513;13.416;-0.3545;2.3241;9.5207;0.0184;-0.743;-3.246;18.9;-8.46;-43.5;278.44;-13.71;2.13;5.0;;;;NaN;;;;0 / 0;217529;2022-01-06 16:22:50:142
-1.165;3.501;13.7321;0.6875;2.7513;9.3877;1.6329;-0.6395;-4.3613;19.86;-3.11;-44.29;286.38;-13.77;-5.39;5.0;;;;NaN;;;;0 / 0;218029;2022-01-06 16:22:50:642
0.78;3.939;10.034;-0.4099;2.175;9.5536;-0.2192;-1.3118;-0.2803;19.01;-7.31;-43.5;276.31;-11.35;3.47;5.0;;;;NaN;;;;0 / 0;218529;2022-01-06 16:22:51:142
-1.11;2.939;12.7121;0.5105;2.2147;9.5396;1.5353;-0.6164;-3.1874;20.34;-1.39;-44.1;288.01;-11.74;-3.52;5.0;;;;NaN;;;;0 / 0;219030;2022-01-06 16:22:51:643
-0.701;4.325;7.097;-0.9207;1.8488;9.5867;-0.1718;-0.1824;1.8252;20.4;-7.44;-42.36;276.96;-10.58;4.9;5.0;;;;NaN;;;;0 / 0;219529;2022-01-06 16:22:52:142
-2.003;2.946;10.637;0.997;2.8375;9.3341;1.6631;-0.0588;3.2535;19.14;-7.69;-43.01;275.93;-14.16;-4.75;5.0;;;;NaN;;;;0 / 0;220030;2022-01-06 16:22:52:643
-0.067;3.947;4.8611;-0.303;2.4386;9.4938;-0.2986;-1.5503;4.6566;20.51;-8.81;-41.29;275.19;-14.14;4.16;5.0;;;;NaN;;;;0 / 0;220529;2022-01-06 16:22:53:142
-1.134;3.528;8.6;0.4674;2.4418;9.4863;0.8921;-0.6872;3.9483;20.4;-4.74;-42.06;283.66;-14.42;-2.82;5.0;;;;NaN;;;;0 / 0;221029;2022-01-06 16:22:53:642
0.21;3.284;6.084;-0.6848;2.1199;9.5503;0.0833;0.5497;3.5197;21.41;-7.31;-40.74;277.69;-12.64;4.0;5.0;;;;NaN;;;;0 / 0;221529;2022-01-06 16:22:54:142
-0.023;2.735;5.873;0.3331;2.0443;9.5854;1.1311;-0.0468;4.6623;22.86;-6.49;-40.99;275.86;-12.03;-1.99;5.0;;;;NaN;;;;0 / 0;222030;2022-01-06 16:22:54:643
-0.713;1.565;4.9331;-1.3332;2.0753;9.4914;-0.0889;1.1838;4.2605;23.21;-5.7;-40.86;284.39;-13.63;7.58;5.0;;;;NaN;;;;0 / 0;222529;2022-01-06 16:22:55:142
-0.2171;2.4101;5.0261;0.023;2.1979;9.5571;0.3449;0.6983;4.338;22.39;-6.96;-41.89;276.66;-12.95;-0.14;5.0;;;;NaN;;;;0 / 0;223030;2022-01-06 16:22:55:643
-0.0739;1.299;6.821;-0.9445;1.7138;9.6094;-0.4354;1.3056;2.4695;21.96;-3.6;-43.39;289.1;-12.9;5.58;5.0;;;;NaN;;;;0 / 0;223530;2022-01-06 16:22:56:143
-0.3851;1.833;4.437;0.5652;2.0541;9.5724;0.0694;0.6308;2.466;18.0;-6.41;-44.34;282.29;-13.44;-1.95;5.0;;;;NaN;;;;0 / 0;224029;2022-01-06 16:22:56:642
-0.72;0.2291;7.5491;-0.6976;2.5456;9.4448;-0.0309;2.2858;1.9071;22.61;-8.34;-40.99;279.71;-15.45;3.19;5.0;;;;NaN;;;;0 / 0;224529;2022-01-06 16:22:57:142
0.318;1.8641;5.354;0.2148;2.5398;9.4696;-1.3924;0.524;2.9727;19.09;-7.74;-43.09;279.37;-15.01;-1.3;5.0;;;;NaN;;;;0 / 0;225029;2022-01-06 16:22:57:642
-0.222;0.6551;10.115;-0.8168;2.2013;9.5214;-0.5026;1.7796;0.8057;21.9;-4.44;-41.29;292.58;-14.91;3.08;5.0;;;;NaN;;;;0 / 0;225529;2022-01-06 16:22:58:142
0.605;0.4661;6.668;-0.1737;2.5439;9.4694;-0.1201;3.0801;-3.7461;20.21;-9.71;-41.04;277.24;-14.75;3.09;5.0;;;;NaN;;;;0 / 0;226029;2022-01-06 16:22:58:642
-0.883;2.0531;7.6211;-0.6485;2.7743;9.3837;0.1752;0.6733;1.7834;22.2;-5.46;-39.49;290.16;-17.58;2.92;5.0;;;;NaN;;;;0 / 0;226530;2022-01-06 16:22:59:143
-0.22;-0.677;14.579;-0.1602;2.8749;9.3744;-2.4238;0.4061;-2.3058;20.7;-6.6;-37.99;282.61;-17.05;0.98;5.0;;;;NaN;;;;0 / 0;227029;2022-01-06 16:22:59:642
-3.116;0.7031;10.704;-0.1685;3.0223;9.3278;0.9573;0.3485;-6.4009;19.56;-2.16;-37.44;292.38;-17.37;-2.44;5.0;;;;NaN;;;;0 / 0;227529;2022-01-06 16:23:00:142
2.0081;3.327;12.341;-0.3664;3.259;9.242;-1.3265;1.6183;-6.3885;16.14;-5.29;-37.86;298.24;-18.44;2.98;5.0;;;;NaN;;;;0 / 0;228029;2022-01-06 16:23:00:642
0.0281;2.513;12.5231;-0.4949;3.0983;9.2912;-0.0181;0.2925;-0.2022;17.4;-2.21;-38.21;302.02;-19.07;0.2;5.0;;;;NaN;;;;0 / 0;228529;2022-01-06 16:23:01:142
0.84;2.115;12.494;0.8948;2.0104;9.5566;-0.2331;-1.0989;-4.1352;9.66;-1.8;-42.0;304.03;-11.64;-3.25;5.0;;;;NaN;;;;0 / 0;229030;2022-01-06 16:23:01:643
-0.591;1.223;13.8611;0.2772;1.3587;9.7081;0.8628;0.1465;-4.1438;18.96;0.24;-39.9;284.53;-8.29;-3.69;5.0;;;;NaN;;;;0 / 0;229530;2022-01-06 16:23:02:143
0.6551;2.19;12.683;-0.1316;1.1451;9.7387;-0.6714;-0.9286;-2.241;16.39;-6.84;-41.29;257.65;-5.36;2.7;5.0;;;;NaN;;;;0 / 0;230030;2022-01-06 16:23:02:643
-0.519;1.821;12.47;0.6593;1.1494;9.7167;1.1211;-0.5079;-2.7618;17.1;-9.41;-39.24;254.96;-5.62;-3.83;5.0;;;;NaN;;;;0 / 0;230530;2022-01-06 16:23:03:143
2.594;2.199;12.557;0.295;2.1704;9.5589;-2.3882;-0.2404;-2.4815;13.61;-15.71;-37.86;238.31;-11.03;0.57;5.0;;;;NaN;;;;0 / 0;231030;2022-01-06 16:23:03:643
1.026;3.4631;11.0201;0.9847;2.0423;9.541;-0.4166;-1.6853;2.3687;15.11;-15.71;-36.49;243.43;-8.72;-5.24;5.0;;;;NaN;;;;0 / 0;231530;2022-01-06 16:23:04:143
1.4261;4.109;9.7991;0.6697;2.5032;9.4581;-1.2617;-1.1894;2.3616;15.06;-14.46;-37.91;252.27;-13.54;-3.76;5.0;;;;NaN;;;;0 / 0;232029;2022-01-06 16:23:04:642
1.0931;4.2701;8.207;1.7753;2.2086;9.3883;0.6025;-1.0827;2.2989;17.1;-13.91;-37.99;255.7;-12.86;-10.4;5.0;;;;NaN;;;;0 / 0;232529;2022-01-06 16:23:05:142
2.0171;4.349;9.3611;0.3605;3.0803;9.3033;-1.1921;-0.4185;4.8716;17.81;-13.86;-38.46;261.58;-16.44;-2.76;5.0;;;;NaN;;;;0 / 0;233030;2022-01-06 16:23:05:643
1.338;3.951;5.208;1.9577;2.4792;9.2839;0.6545;-1.4208;4.0608;14.51;-12.79;-41.29;263.98;-15.73;-11.04;5.0;;;;NaN;;;;0 / 0;233530;2022-01-06 16:23:06:143
1.716;2.64;5.4641;1.3785;2.5339;9.3728;-0.4875;0.2865;3.3662;14.16;-12.66;-42.41;263.29;-14.97;-8.37;5.0;;;;NaN;;;;0 / 0;234029;2022-01-06 16:23:06:642
1.8;2.034;5.9741;2.4644;1.962;9.287;-0.1775;0.7304;2.7085;13.44;-12.41;-43.86;267.12;-15.33;-14.74;5.0;;;;NaN;;;;0 / 0;234529;2022-01-06 16:23:07:142
2.522;1.689;6.627;1.4018;2.1939;9.4547;-1.118;0.505;2.8353;10.74;-10.86;-45.36;271.78;-14.37;-11.68;5.0;;;;NaN;;;;0 / 0;235030;2022-01-06 16:23:07:643
1.551;2.79;6.264;2.488;2.6639;9.1041;1.1805;-0.0738;2.3484;10.61;-13.14;-44.21;269.36;-17.82;-15.71;5.0;;;;NaN;;;;0 / 0;235529;2022-01-06 16:23:08:142
-0.196;0.746;8.5541;1.2831;1.3898;9.6225;1.5084;1.1448;1.1611;14.51;-0.11;-44.29;288.19;-10.46;-10.09;5.0;;;;NaN;;;;0 / 0;236029;2022-01-06 16:23:08:642
-0.5861;-0.505;7.748;0.1969;0.6232;9.7849;1.65;0.3026;3.2443;16.61;4.99;-41.81;297.37;-5.52;-0.52;5.0;;;;NaN;;;;0 / 0;236529;2022-01-06 16:23:09:142
-0.361;-0.66;10.347;-0.2781;0.3002;9.7981;0.7649;1.673;1.5294;16.39;7.5;-40.09;301.86;-1.75;1.63;5.0;;;;NaN;;;;0 / 0;237029;2022-01-06 16:23:09:642
1.148;0.416;9.8591;-0.3363;-0.1959;9.7989;0.304;1.681;0.8067;16.86;2.34;-40.2;275.41;0.82;2.86;5.0;;;;NaN;;;;0 / 0;237530;2022-01-06 16:23:10:143
-2.568;0.378;8.078;-0.31;1.1489;9.7342;1.4088;0.2295;-1.3025;18.3;-1.26;-38.29;279.46;-5.7;1.58;5.0;;;;NaN;;;;0 / 0;238029;2022-01-06 16:23:10:642
1.689;-1.026;12.2;-0.1804;1.0949;9.7437;-2.8262;0.9053;-0.9855;15.6;0.0;-39.96;288.51;-6.85;2.2;5.0;;;;NaN;;;;0 / 0;238529;2022-01-06 16:23:11:142
-2.582;-0.615;12.8321;-0.074;1.4275;9.7019;1.506;0.0382;-1.0445;20.1;1.69;-38.81;291.29;-8.37;0.44;5.0;;;;NaN;;;;0 / 0;239030;2022-01-06 16:23:11:643
1.6151;1.79;9.1601;-0.1108;1.3784;9.7087;-1.7662;-0.4073;0.5553;17.1;-0.96;-41.04;288.82;-7.24;2.23;5.0;;;;NaN;;;;0 / 0;239530;2022-01-06 16:23:12:143
-2.08;0.488;14.352;-0.6151;1.2107;9.7122;1.2178;0.6711;-4.6404;20.4;4.31;-38.21;294.28;-7.31;0.64;5.0;;;;NaN;;;;0 / 0;240030;2022-01-06 16:23:12:643
-1.029;1.1051;14.957;-0.2971;1.5392;9.6806;-0.1745;-0.9942;-4.4982;17.29;-3.06;-39.06;276.06;-5.14;4.11;5.0;;;;NaN;;;;0 / 0;240529;2022-01-06 16:23:13:142
-2.034;2.903;11.621;0.6446;2.1663;9.5426;1.5688;-1.1462;-3.7503;19.69;-3.36;-37.8;282.89;-12.76;-3.86;5.0;;;;NaN;;;;0 / 0;241030;2022-01-06 16:23:13:643
-1.1171;0.708;13.878;-0.1916;1.6728;9.661;-0.1099;-0.7108;-4.1909;19.09;-2.16;-38.1;284.08;-9.82;1.14;5.0;;;;NaN;;;;0 / 0;241529;2022-01-06 16:23:14:142
-2.451;1.278;15.146;-0.2753;1.6824;9.6573;0.1559;-0.8518;-4.4865;21.96;1.86;-38.04;281.56;-5.35;-0.2;5.0;;;;NaN;;;;0 / 0;242029;2022-01-06 16:23:14:642
1.139;2.384;14.649;-0.1803;1.103;9.7427;-1.2428;-1.1816;-4.9098;20.89;-0.24;-39.9;280.03;-4.87;2.05;5.0;;;;NaN;;;;0 / 0;242529;2022-01-06 16:23:15:142
-1.419;2.099;11.5781;0.2433;1.307;9.7161;1.5916;-0.6849;-1.8745;20.94;2.4;-39.71;288.22;-7.66;-1.43;5.0;;;;NaN;;;;0 / 0;243030;2022-01-06 16:23:15:643
0.081;2.594;15.956;-0.3944;1.4017;9.6979;-0.5987;-1.6357;-2.86;20.89;-0.54;-39.36;280.67;-6.31;3.97;5.0;;;;NaN;;;;0 / 0;243529;2022-01-06 16:23:16:142
-1.8431;2.714;12.186;0.0204;1.4094;9.7048;0.4323;-1.5415;2.394;18.19;2.51;-39.49;286.57;-6.49;-0.65;5.0;;;;NaN;;;;0 / 0;244029;2022-01-06 16:23:16:642
0.5501;3.231;8.4971;-0.8507;1.204;9.6952;-1.3365;-2.0166;1.2138;18.11;-0.54;-38.1;286.48;-7.47;5.8;5.0;;;;NaN;;;;0 / 0;244529;2022-01-06 16:23:17:142
-1.18;2.276;7.755;0.5628;0.9285;9.7464;0.9004;-0.6391;2.7882;17.81;2.89;-37.2;283.74;-5.76;-2.93;5.0;;;;NaN;;;;0 / 0;245029;2022-01-06 16:23:17:642
0.0671;3.032;7.271;-1.0364;0.7011;9.7265;-0.8457;-1.1104;3.9787;18.41;0.71;-38.64;285.84;-4.1;6.08;5.0;;;;NaN;;;;0 / 0;245529;2022-01-06 16:23:18:142
-0.083;1.9241;6.474;0.0037;0.8471;9.77;0.7392;-0.5013;4.39;18.06;-0.6;-41.51;281.22;-6.1;0.56;5.0;;;;NaN;;;;0 / 0;246029;2022-01-06 16:23:18:642
-0.4061;1.572;7.745;-0.8455;1.2731;9.6868;-0.2295;0.8814;2.585;21.11;-1.09;-40.74;286.38;-8.26;4.85;5.0;;;;NaN;;;;0 / 0;246530;2022-01-06 16:23:19:143
-0.868;1.4621;5.27;0.3918;0.8108;9.7652;1.2226;-0.7424;4.5163;18.11;1.26;-42.9;286.54;-6.31;-1.44;5.0;;;;NaN;;;;0 / 0;247029;2022-01-06 16:23:19:642
-0.177;0.315;6.1301;-0.8714;1.2325;9.6898;-1.0928;0.7671;2.3152;20.51;0.11;-41.76;289.82;-8.62;3.99;5.0;;;;NaN;;;;0 / 0;247530;2022-01-06 16:23:20:143
-0.49;1.4291;4.763;0.073;1.3942;9.7068;0.3123;-0.4209;4.1497;17.94;-1.2;-43.31;285.82;-10.37;2.2;5.0;;;;NaN;;;;0 / 0;248029;2022-01-06 16:23:20:642
-0.54;-0.3491;9.126;-0.5265;1.6199;9.6576;-0.0994;1.2376;0.0924;20.51;-0.9;-42.36;288.17;-9.51;3.12;5.0;;;;NaN;;;;0 / 0;248529;2022-01-06 16:23:21:142
1.826;1.0961;9.746;-0.1955;1.5161;9.6868;-0.4271;1.5842;-0.7056;19.39;-2.89;-43.01;281.66;-8.89;1.16;5.0;;;;NaN;;;;0 / 0;249029;2022-01-06 16:23:21:642
-0.2269;0.603;9.921;-0.4355;1.8354;9.6235;1.1828;0.7289;1.8656;20.1;-0.24;-42.36;293.87;-11.36;1.47;5.0;;;;NaN;;;;0 / 0;249529;2022-01-06 16:23:22:142
2.1131;0.059;8.571;-0.386;1.8766;9.6177;-1.0358;2.6694;-0.3392;17.21;-1.86;-43.5;292.72;-11.03;2.3;5.0;;;;NaN;;;;0 / 0;250029;2022-01-06 16:23:22:642
-2.178;-0.4039;9.545;0.3028;2.0343;9.5885;2.4244;2.307;-3.5454;15.11;1.01;-43.09;300.91;-12.87;-3.09;5.0;;;;NaN;;;;0 / 0;250530;2022-01-06 16:23:23:143
0.5021;-1.019;8.1161;0.3069;2.1406;9.5653;-0.063;3.2125;-1.5046;13.8;-3.19;-42.11;292.0;-12.15;-0.72;5.0;;;;NaN;;;;0 / 0;251029;2022-01-06 16:23:23:642
-2.2781;0.1931;16.638;0.0408;2.0138;9.5976;1.6344;0.5156;-2.293;16.91;1.86;-39.71;298.02;-11.63;-2.27;5.0;;;;NaN;;;;0 / 0;251529;2022-01-06 16:23:24:142
-0.5809;-1.6609;15.5291;0.0119;2.5124;9.4794;-0.6963;2.8665;-5.9661;16.5;-3.19;-39.79;293.45;-14.31;1.05;5.0;;;;NaN;;;;0 / 0;252029;2022-01-06 16:23:24:642
-1.113;2.2091;11.01;-0.0839;2.1086;9.5769;0.9299;-0.1058;-1.4278;19.14;2.51;-40.44;299.65;-12.3;-1.36;5.0;;;;NaN;;;;0 / 0;252529;2022-01-06 16:23:25:142
-0.761;2.448;13.533;-0.3433;1.9894;9.5966;0.2152;-0.7755;-2.0488;20.04;-1.14;-41.21;291.99;-11.7;2.05;5.0;;;;NaN;;;;0 / 0;253030;2022-01-06 16:23:25:643
-2.5151;1.728;15.74;-0.2232;1.6297;9.6677;2.0663;0.0811;-6.101;20.46;2.29;-41.34;290.51;-6.79;0.1;5.0;;;;NaN;;;;0 / 0;253530;2022-01-06 16:23:26:143
-1.012;3.092;9.758;-0.7281;1.6048;9.647;0.2798;-1.487;-0.1052;20.34;-1.31;-41.46;289.44;-9.42;4.32;5.0;;;;NaN;;;;0 / 0;254030;2022-01-06 16:23:26:643
-0.43;2.2931;16.1111;-0.2392;1.6661;9.6611;0.3965;-1.1446;-1.775;21.06;0.41;-40.26;284.25;-7.17;1.53;5.0;;;;NaN;;;;0 / 0;254529;2022-01-06 16:23:27:142
0.0191;3.444;12.2261;-0.9477;1.3314;9.6695;-0.6823;-3.1049;2.7503;22.99;-3.54;-38.81;271.68;-6.34;5.65;5.0;;;;NaN;;;;0 / 0;255029;2022-01-06 16:23:27:642
-1.4141;2.558;10.371;0.5142;1.5152;9.6752;1.9211;-0.9116;-0.7097;24.3;0.6;-38.81;282.71;-7.08;-1.88;5.0;;;;NaN;;;;0 / 0;255530;2022-01-06 16:23:28:143
0.2561;2.427;6.029;-1.1735;1.3947;9.6358;-1.133;-1.5223;3.6889;24.3;0.0;-39.49;287.21;-8.18;6.94;5.0;;;;NaN;;;;0 / 0;256030;2022-01-06 16:23:28:643
-1.35;2.115;10.9601;0.4013;1.4084;9.6967;0.6198;-0.9887;1.597;21.49;4.86;-41.29;292.94;-8.93;-1.62;5.0;;;;NaN;;;;0 / 0;256530;2022-01-06 16:23:29:143
-0.497;2.676;5.459;-0.965;1.2761;9.6753;0.1335;0.774;3.389;22.26;0.24;-40.5;286.95;-7.48;5.7;5.0;;;;NaN;;;;0 / 0;257030;2022-01-06 16:23:29:643
-0.423;2.781;7.314;0.137;1.3278;9.7154;1.0768;-0.2249;3.3138;20.29;3.96;-42.19;298.05;-9.1;0.14;5.0;;;;NaN;;;;0 / 0;257529;2022-01-06 16:23:30:142
-0.205;2.2061;6.788;-1.2629;1.1651;9.6549;-0.8815;-0.2786;4.1932;21.36;1.26;-41.1;293.22;-7.68;7.08;5.0;;;;NaN;;;;0 / 0;258029;2022-01-06 16:23:30:642
-0.835;1.479;6.1301;0.0339;1.477;9.6947;-0.2385;-0.2528;2.8437;18.79;2.94;-42.96;295.94;-10.01;0.72;5.0;;;;NaN;;;;0 / 0;258529;2022-01-06 16:23:31:142
0.2651;1.7231;5.16;-0.4795;1.0551;9.7379;-0.7616;0.4616;2.9709;17.59;1.01;-43.26;301.66;-9.87;1.85;5.0;;;;NaN;;;;0 / 0;259029;2022-01-06 16:23:31:642
0.284;1.8521;5.256;0.4975;1.6254;9.6582;-0.415;-0.0907;2.7935;16.61;-3.54;-43.39;286.08;-12.42;-1.59;5.0;;;;NaN;;;;0 / 0;259529;2022-01-06 16:23:32:142
-0.588;-0.0859;5.826;-0.7251;1.593;9.6492;-0.0168;1.8791;1.1365;21.19;-2.64;-41.64;282.97;-9.35;4.3;5.0;;;;NaN;;;;0 / 0;260029;2022-01-06 16:23:32:642
2.003;2.154;6.783;0.0919;1.6811;9.661;-1.752;-0.699;2.9122;16.86;-2.4;-43.39;287.15;-9.87;-0.54;5.0;;;;NaN;;;;0 / 0;260529;2022-01-06 16:23:33:142
0.2081;0.6701;11.4101;-0.4724;1.8877;9.6116;0.3039;0.0217;4.2589;21.71;-3.49;-41.04;283.75;-11.6;0.31;5.0;;;;NaN;;;;0 / 0;261029;2022-01-06 16:23:33:642
1.625;0.617;7.341;-0.5356;2.195;9.5428;0.2544;3.6524;-1.0674;18.66;-1.56;-42.71;297.33;-14.26;4.14;5.0;;;;NaN;;;;0 / 0;261530;2022-01-06 16:23:34:143
-0.495;0.045;10.443;-1.4282;1.5861;9.5716;1.4287;1.9108;1.6813;22.86;1.14;-40.31;298.41;-11.42;5.57;5.0;;;;NaN;;;;0 / 0;262030;2022-01-06 16:23:34:643
0.569;-0.4999;9.3371;-0.4629;1.792;9.6304;-0.0271;2.7454;-1.5928;20.04;-2.59;-41.89;287.13;-11.23;3.16;5.0;;;;NaN;;;;0 / 0;262529;2022-01-06 16:23:35:142
-1.122;0.5861;14.933;-0.4683;1.8171;9.6255;-0.4278;-0.6496;-1.0248;20.04;0.54;-41.34;295.2;-10.5;2.39;5.0;;;;NaN;;;;0 / 0;263029;2022-01-06 16:23:35:642
-0.1241;-0.926;13.7051;-0.3555;1.6833;9.6546;-1.8927;0.9802;-1.3618;18.0;-0.24;-41.64;293.99;-9.88;2.11;5.0;;;;NaN;;;;0 / 0;263529;2022-01-06 16:23:36:142
