"x","y","z","t","class"
0.0405,0.1686,-0.1963,2021-12-18 14:10:48,2
0.072,0.1038,-0.003,2021-12-18 14:10:49,2
-0.1214,0.0471,0.1783,2021-12-18 14:10:50,2
-0.049,-0.3078,0.3487,2021-12-18 14:10:51,2
-0.8725,0.0058,-0.0918,2021-12-18 14:10:52,2
0.7405,0.3955,0.2826,2021-12-18 14:10:53,2
0.2481,-0.0345,0.3731,2021-12-18 14:10:54,2
-0.0684,0.1554,-0.3146,2021-12-18 14:10:55,2
-0.4136,-0.0782,-0.0554,2021-12-18 14:10:56,2
0.856,-0.3245,-1.6499,2021-12-18 14:10:57,2
0.162,0.1303,0.2313,2021-12-18 14:10:58,2
0.231,0.2159,-1.1421,2021-12-18 14:10:59,2
0.4058,-0.2221,0.7228,2021-12-18 14:11:00,2
18.0065,-5.6959,11.5593,2021-12-18 14:11:01,2
-36.5941,-103.0091,-82.7976,2021-12-18 14:11:02,2
2.3429,-1.9101,6.6537,2021-12-18 14:11:03,2
1.2093,-0.7938,-2.3823,2021-12-18 14:11:04,2
0.8752,0.2873,0.9597,2021-12-18 14:11:05,2
-0.0769,0.0542,0.4516,2021-12-18 14:11:06,2
0.6558,-0.419,-0.122,2021-12-18 14:11:07,2
-0.1588,0.1265,0.2311,2021-12-18 14:11:08,2
0.0287,0.0432,0.051,2021-12-18 14:11:09,2
1.6096,-0.3874,0.1294,2021-12-18 14:11:10,2
0.258,0.00620000000000001,0.3497,2021-12-18 14:11:11,2
0.1061,0.0995,-0.0276,2021-12-18 14:11:12,2
0.0833,0.077,-0.0373,2021-12-18 14:11:13,2
0.1224,0.0825,-0.0464,2021-12-18 14:11:14,2
-0.097,0.424,-0.2027,2021-12-18 14:11:15,2
1.1988,2.9813,-3.7713,2021-12-18 14:11:16,2
-14.8157,69.344,5.7248,2021-12-18 14:11:17,2
-0.0882,-3.9886,0.6437,2021-12-18 14:11:18,2
-213.6098,382.662500000001,282.857,2021-12-18 14:11:19,2
11.6171,4.9384,-2.305,2021-12-18 14:11:20,2
5.0786,5.6534,1.2829,2021-12-18 14:11:21,2
-3.3097,-8.1259,0.8261,2021-12-18 14:11:22,2
-2.9966,-4.3109,-0.6256,2021-12-18 14:11:23,2
0.802,-7.5787,3.6751,2021-12-18 14:11:24,2
-7.0082,4.0422,2.7434,2021-12-18 14:11:25,2
-0.5285,-3.551,3.8154,2021-12-18 14:11:26,2
-1.8457,-16.8943,2.2344,2021-12-18 14:11:27,2
-6.9061,-2.5708,-0.1762,2021-12-18 14:11:28,2
-2.4402,1.3604,1.8101,2021-12-18 14:11:29,2
-1.6876,7.4388,-2.0003,2021-12-18 14:11:30,2
6.895,4.9524,-6.2667,2021-12-18 14:11:31,2
3.1337,1.3481,1.217,2021-12-18 14:11:32,2
-2.7356,-7.9854,0.2739,2021-12-18 14:11:33,2
-0.5893,2.2466,4.4143,2021-12-18 14:11:34,2
5.046,0.6918,-0.6389,2021-12-18 14:11:35,2
2.8662,-1.578,1.4587,2021-12-18 14:11:36,2
1.4816,-6.7481,2.7526,2021-12-18 14:11:37,2
4.0656,1.2957,-0.7917,2021-12-18 14:11:38,2
-0.3182,0.0626000000000002,2.3987,2021-12-18 14:11:39,2
-5.1824,-7.5841,2.8287,2021-12-18 14:11:40,2
-3.9905,-6.1105,1.8748,2021-12-18 14:11:41,2
-1.8429,0.3425,-0.5644,2021-12-18 14:11:42,2
3.7297,6.4697,-0.903,2021-12-18 14:11:43,2
-0.4343,-12.0935,-0.1394,2021-12-18 14:11:44,2
-0.8747,-3.788,-2.9207,2021-12-18 14:11:45,2
0.5273,2.3029,-0.5606,2021-12-18 14:11:46,2
4.965,3.671,0.209,2021-12-18 14:11:47,2
